cuenca,estacion,nombre,latitud,longitud,periodo,cantidad de años,histórico,CMES,acumulado,anomalia,anomalia porcentual
69,633,COMANDO LOS CHILES,11.032,-84.712,1995-2023,28,41.4,04,56.4,15,36.2
69,647,FINCA BRASILIA DEL ORO,10.983,-85.347,2003-2023,20,60.4,04,40.2,-20.2,-33.4
69,679,UPALA,10.881,-85.073,1998-2023,25,59.2,04,12.4,-46.8,-79.1
69,681,LA REBUSCA,10.475,-84.009,2000-2023,23,157.4,04,298.6,141.2,89.7
69,695,BALSA SAN RAMON,10.174,-84.497,2009-2023,14,66.6,04,33.2,-33.4,-50.2
69,699,BETANIA CUTRIS,10.644,-84.382,2012-2023,11,93.1,04,113.8,20.7,22.2
69,701,ITCR SAN CARLOS,10.361,-84.514,2012-2023,11,78.5,04,49.6,-28.9,-36.8
69,709,SAN GERARDO DE SARAPIQUI,10.416,-84.158,2013-2023,10,152.4,04,191,38.6,25.3
71,15,CANTA GALLO,10.497,-83.674,1996-2023,27,208.7,04,246.4,37.7,18.1
72,149,SAN JOSE PINILLA,10.26,-85.838,2005-2023,18,37.6,04,0,-37.6,-100
72,153,SANTA ELENA LA CRUZ,10.92,-85.611,2005-2022,17,34.1,04,4.2,-29.9,-87.7
72,157,FINCA LA CEIBA,10.111,-85.318,2000-2023,23,41.8,04,0,-41.8,-100
72,159,PAQUERA,9.821,-84.939,2003-2023,20,56.4,04,17.8,-38.6,-68.4
72,163,SANTA ROSA CC,10.841,-85.619,2013-2023,10,17.1,04,0.76,-16.34,-95.6
73,123,ITCR CARTAGO,9.852,-83.909,1998-2023,25,41.2,04,24,-17.2,-41.7
73,129,RECOPE OCHOMOGO,9.895,-83.939,1999-2023,24,38.7,04,9.8,-28.9,-74.7
73,137,VOLCAN IRAZÚ,9.98,-83.838,2005-2023,18,74.7,04,34.2,-40.5,-54.2
73,141,PACAYAS,9.914,-83.806,2008-2023,15,84.8,04,78.8,-6,-7.1
73,145,EARTH CC,10.21,-83.594,2012-2023,11,201.1,04,179.4,-21.7,-10.8
73,147,GUAPILES,10.212,-83.772,2012-2023,11,279.8,04,138,-141.8,-50.7
73,149,MARAVILLA JUAN VIÑAS,9.896,-83.748,2013-2023,10,142.5,04,116,-26.5,-18.6
73,151,TURRIALBA CENTRO,9.91,-83.679,2008-2023,15,164.2,04,109.8,-54.4,-33.1
74,51,AEROP. INTERNACIONAL DANIEL ODUBER Q. LIBERIA OESTE 07,10.589,-85.552,1999-2023,24,36.8,04,0,-36.8,-100
74,53,SANTA  CRUZ,10.285,-85.592,1996-2023,27,53.8,04,0,-53.8,-100
74,63,MANGARICA LLANO LA CRUZ LIBERIA,10.606,-85.453,2013-2023,10,50.7,04,0.2,-50.5,-99.6
76,55,HDA. MOJICA,10.453,-85.165,2000-2023,23,24.9,04,0,-24.9,-100
76,59,HDA. TABOGA CAÑAS,10.346,-85.178,2012-2023,11,32.8,04,14.4,-18.4,-56.1
81,5,AEROP. INTERNACIONAL LIMON,9.962,-83.025,1998-2023,25,244.2,04,445.4,201.2,82.4
84,139,CIGEFI,9.936,-84.045,2000-2023,23,57.5,04,48.2,-9.3,-16.2
84,141,IMN ARANJUEZ,9.938,-84.07,1996-2023,27,58.6,04,16.4,-42.2,-72
84,169,AEROP. JUAN SANTAMARIA MEDIA PISTA,9.991,-84.215,1998-2023,25,87.5,04,7.2,-80.3,-91.8
84,181,IZTARÚ,9.889,-83.969,2004-2023,19,44.8,04,15.6,-29.2,-65.2
84,185,AEROP. JUAN SANTAMARIA OESTE 07,9.989,-84.219,2009-2023,14,117.5,04,6.6,-110.9,-94.4
84,187,FABIO BAUDRIT,10.005,-84.266,1996-2023,27,82.5,04,4,-78.5,-95.2
84,189,LAGUNA FRAIJANES,10.137,-84.194,2004-2023,19,126.9,04,60.6,-66.3,-52.2
84,191,RECOPE LA GARITA,10.005,-84.296,1999-2023,24,69.4,04,8.6,-60.8,-87.6
84,193,AEROP. PAVAS ESTE,9.957,-84.138,2009-2023,14,89.6,04,4.5,-85.1,-95
84,197,SANTA BARBARA,10.033,-84.166,2002-2023,21,161.9,04,7,-154.9,-95.7
84,199,BELEN,9.975,-84.186,2006-2023,17,108.6,04,10.2,-98.4,-90.6
84,207,PATIO DE AGUA CORONADO,9.977,-83.97,2011-2023,12,53.6,04,47.4,-6.2,-11.6
84,209,UNIVERSIDAD PARA LA PAZ CC,9.92,-84.273,2012-2022,10,204.6,04,89.4,-115.2,-56.3
84,213,FINCA LOS MACAYAS RANCHO REDONDO,9.969,-83.971,2012-2023,11,70.7,04,46.2,-24.5,-34.7
84,215,CERRO BURIO ASERRI,9.84,-84.113,2013-2023,10,91.2,04,8.6,-82.6,-90.6
84,217,ALTOS TABLAZO HIGUITO,9.837,-84.055,2013-2023,10,57.7,04,4,-53.7,-93.1
84,219,CERRO CHITARIA SANTA ANA,9.892,-84.194,2012-2022,10,170.5,04,48.74,-121.76,-71.4
84,221,LAGUNA VOLCAN POAS,10.189,-84.232,2012-2023,11,98.3,04,137.6,39.3,40
84,225,UTN BALSA ATENAS,9.936,-84.38,2013-2023,10,127.1,04,53.4,-73.7,-58
84,231,CERRO CEDRAL ESCAZÚ,9.861,-84.146,2013-2023,10,103.5,04,23.6,-79.9,-77.2
85,21,HITOY CERERE,9.678,-83.02,1996-2023,27,228,04,88.4,-139.6,-61.2
85,23,MANZANILLO,9.631,-82.661,2006-2023,17,194.2,04,207,12.8,6.6
88,47,LA LUCHA 2,9.737,-84.001,2010-2023,13,107.4,04,55.8,-51.6,-48
90,13,FINCA DAMAS,9.495,-84.214,2009-2023,14,170.9,04,62.6,-108.3,-63.4
94,13,CERRO BUENAVISTA CC,9.56,-83.754,2013-2023,10,152.1,04,37.8,-114.3,-75.1
98,75,LAS BRISAS SABALITO,8.88,-82.894,1998-2023,25,187,04,124.8,-62.2,-33.3
98,87,PINDECO,9.147,-83.335,1996-2023,27,191.2,04,31,-160.2,-83.8
98,91,CHIRRIPO,9.458,-83.508,2000-2022,22,101.4,04,36.8,-64.6,-63.7
98,95,ALTAMIRA,9.029,-83.008,2000-2023,23,289.8,04,149.6,-140.2,-48.4
98,97,MONTECARLO PZ,9.358,-83.601,2009-2023,14,478.2,04,94.8,-383.4,-80.2
100,633,FINCA EL PATIO PUERTO JIMENEZ,8.601,-83.431,2004-2023,19,186.4,04,106.8,-79.6,-42.7
100,641,COOPEAGROPAL LAUREL,8.471,-82.861,2008-2023,15,249,04,85,-164,-65.9
100,643,RIO CLARO,8.675,-83.062,2010-2023,13,294.1,04,133.6,-160.5,-54.6
